City,Region,Population_2010,Population_2020,Rainfall_2010_mm,Rainfall_2020_mm,GDP_Region_2010_Billion_GBP,GDP_Region_2020_Million_GBP,GDP_Per_Capita_2010_GBP,GDP_Per_Capita_2020_GBP
London,London,8173940,8908081,461.8,615.4,290.3,617915,36248,69077
Birmingham,West Midlands,1073045,1144900,657.4,868.2,99.3,195208,17741,32077
Glasgow,Scotland,591620,632350,942.0,1324.5,105.0,204188,20247,37192
Leeds,Yorkshire and The Humber,750700,798900,595.6,834.0,92.8,182509,17418,32625
Sheffield,Yorkshire and The Humber,518090,556600,722.4,984.6,92.8,182509,17418,32625
Manchester,North West,502900,553200,731.8,1015.0,141.9,270833,20239,35635
Edinburgh,Scotland,477660,518500,598.2,778.4,105.0,204188,20247,37192
Liverpool,North West,466415,498000,714.0,918.5,141.9,270833,20239,35635
Bristol,South West,428200,463400,689.4,892.4,98.2,207643,18479,35731
Cardiff,Wales,346100,362400,981.2,1264.0,48.9,92767,16085,29316
Belfast,Northern Ireland,280962,345418,810.5,1085.6,33.0,63265,18317,32944
Leicester,East Midlands,329839,354000,520.4,728.6,81.4,156953,18049,31446
Wakefield,Yorkshire and The Humber,326400,351800,595.6,834.0,92.8,182509,17418,32625
Coventry,West Midlands,316900,345300,564.2,780.4,99.3,195208,17741,32077
Nottingham,East Midlands,306573,332900,512.6,712.5,81.4,156953,18049,31446
Newcastle upon Tyne,North East,280177,300200,551.4,764.2,45.2,77498,17445,28583
Sunderland,North East,275506,277800,540.2,748.8,45.2,77498,17445,28583
Bradford,Yorkshire and The Humber,293717,370100,781.0,1048.2,92.8,182509,17418,32625
Derby,East Midlands,248752,261400,512.6,712.5,81.4,156953,18049,31446
Kingston upon Hull,Yorkshire and The Humber,256406,260700,554.8,718.4,92.8,182509,17418,32625
Brighton and Hove,South East,251300,290800,610.2,852.4,210.7,391807,25043,41319
Plymouth,South West,256600,262100,910.4,1248.6,98.2,207643,18479,35731
Stoke-on-Trent,West Midlands,249008,258400,710.2,935.4,99.3,195208,17741,32077
Wolverhampton,West Midlands,249800,263700,657.4,868.2,99.3,195208,17741,32077
Southampton,South East,236900,271300,645.8,895.0,210.7,391807,25043,41319
