Bundesland,Landwirtschaft in tsd ha,Prozentualer Anteil landwirtschaftlich genutzter Flaeche,Flaeche in tsd. ha
Baden-Wuerttemberg,"1635,6","45,7","3575,1"
Bayern,"3484,8","49,4",7055
Berlin,"3,8","4,3","89,2"
Brandenburg,"1456,0","49,4","2948,3"
Bremen,"12,1","28,9","41,9"
Hamburg,"18,6","24,6","75,5"
Hessen,"889,5","42,1","2111,5"
Mecklenburg-Vorpommern,"1455,2","62,7","2319,1"
Niedersachsen,"2859,4","60,1","4761,3"
Nordrhein-Westfalen,"1674,2","49,1","3409,2"
Rheinland-Pfalz,"831,7","41,9","1985,4"
Saarland,"111,0","43,2","257,0"
Sachsen,"1015,2","55,1","1842,0"
Sachsen-Anhalt,"1264,2","61,8","2045,0"
Schleswig-Holstein,"1102,9","69,8","1579,9"
Thueringen,"879,2","54,4","1617,2"
,,,
Deutschland,"18693,4","52,3","35712,7"
