Oblast,Population in thousand,per km²
Blagoevgrad,"323,6","50,2"
Burgas,"415,8","53,7"
Dobrich,"189,7","40,2"
Gabrovo,"122,7","60,7"
Haskovo,"246,2","44,5"
Kardzhali,"152,8","47,6"
Kyustendil,"136,7","44,8"
Lovech,"141,4","34,2"
Montana,"148,1","40,7"
Pazardzhik,"275,5","61,8"
Pernik,"133,5","55,8"
Pleven,"269,8","58,0"
Plovdiv,"683,0","114,3"
Razgrad,"125,2","47,6"
Ruse,"235,3","83,9"
Shumen,"180,5","53,2"
Silistra,"119,5","42,0"
Sliven,"197,5","55,7"
Smolyan,"121,8","38,1"
Sofia (province),"247,5","35,0"
Sofia (city),"1291,6","961,0"
Stara Zagora,"333,3","64,7"
Targovishte,"120,8","44,6"
Varna,"475,1","124,4"
Veliko Tarnovo,"258,5","55,4"
Vidin,"101,0","33,3"
Vratsa,"186,8","51,6"
Yambol,"131,4","39,2"
Landesdurchschnitt,"264,1","96,1"
