Oblast,Jahr,Bevoelkerung
Blagoevgrad,2020,302660
Burgas,2020,409750
Dobrich,2020,171809
Gabrovo,2020,105788
Haskovo,2020,225317
Kardzhali,2020,159981
Kyustendil,2020,116472
Lovech,2020,124371
Montana,2020,125321
Pazardzhik,2020,251508
Pernik,2020,119109
Pleven,2020,233489
Plovdiv,2020,666398
Razgrad,2020,110789
Ruse,2020,213031
Shumen,2020,171732
Silistra,2020,107144
Sliven,2020,184131
Smolyan,2020,101887
Sofia (Oblast),2020,230960
Sofia-Stadt,2020,1308412
Stara Zagora,2020,311402
Targovishte,2020,110527
Varna,2020,470124
Veliko Tarnovo,2020,233342
Vidin,2020,82835
Vratsa,2020,157726
Yambol,2020,116454
Landesdurchschnitt,2020,246512.43
