Oblast,Agricultural land in thousand ha,Total land in thousand ha
Blagoevgrad,"132,1","644,9"
Burgas,"315,4","774,8"
Dobrich,"343,8","471,4"
Gabrovo,"66,4","202,3"
Haskovo,"242,1","553,3"
Kardzhali,"93,7","320,9"
Kyustendil,"88,9","305,2"
Lovech,"162,3","412,9"
Montana,"201,5","363,5"
Pazardzhik,"123,0","445,7"
Pernik,"79,1","239,4"
Pleven,"322,6","465,3"
Plovdiv,"296,2","597,3"
Razgrad,"155,0","263,1"
Ruse,"190,4","280,3"
Shumen,"194,1","339,0"
Silistra,"205,8","284,6"
Sliven,"188,3","354,4"
Smolyan,"43,9","319,3"
Sofia (province),"208,2","706,2"
Sofia (city),"40,5","134,4"
Stara Zagora,"273,1","515,1"
Targovishte,"121,7","271,0"
Varna,"217,0","382,0"
Veliko Tarnovo,"234,5","466,2"
Vidin,"158,1","303,2"
Vratsa,"225,0","362,0"
Yambol,"245,3","335,5"
Landesdurchschnitt,"184,6","396,9"
