Category,Name,Region,Value_2010,Value_2020,Unit
Population,London,England,8173900.0,8961900,Einwohner
Population,Birmingham,England,1073000.0,1145000,Einwohner
Population,Glasgow,Scotland,584000.0,633000,Einwohner
Population,Leeds,England,770800.0,793100,Einwohner
Population,Sheffield,England,525800.0,556500,Einwohner
Population,Manchester,England,498800.0,553000,Einwohner
Population,Edinburgh,Scotland,477600.0,524900,Einwohner
Population,Liverpool,England,466400.0,498000,Einwohner
Population,Bristol,England,433600.0,467000,Einwohner
Population,Cardiff,Wales,341000.0,362000,Einwohner
GDP,East Midlands,,81.4,156953,GBP
GDP,East of England,,121.0,229264,GBP
GDP,England,,1284.1,2329630,GBP
GDP,London,,290.3,617915,GBP
GDP,North East,,45.2,77498,GBP
GDP,North West,,141.9,270833,GBP
GDP,Northern Ireland,,33.0,63265,GBP
GDP,Scotland,,105.0,204188,GBP
GDP,South East,,210.7,391807,GBP
GDP,South West,,98.2,207643,GBP
GDP,UK total,,1497.8,2720029,GBP
GDP,Wales,,48.9,92767,GBP
GDP,West Midlands,,99.3,195208,GBP
GDP,Yorkshire and The Humber,,92.8,182509,GBP
Coastline,England,,4422.0,4422,km
Coastline,Scotland,,9910.0,9910,km
Coastline,Wales,,1200.0,1200,km
Coastline,Northern Ireland,,539.0,539,km
Mountain,Scafell Pike,England,978.0,978,m
Mountain,Snowdon,Wales,1085.0,1085,m
Mountain,Ben Nevis,Scotland,1344.0,1344,m
Mountain,Slieve Donard,Northern Ireland,850.0,850,m
Agriculture land,United Kingdom,,71.0,71,%
